USB2CAN&LIN Display List File V2.0,,,,,,,,
Frame No. ,ID[PID],Data(Hex),Chk(Hex),Chk Mode,Data Type,Timestamp,Channel No. ,Events
113,0A [CA],00 46 00 00 00 08 01 00,E5,Enhanced,Slave response,1.208,LIN1,
114,2F [6F],00 00 00 00 82 FF FF FF,0E,Enhanced,Slave response,1.217,LIN1,
115,0A [CA],00 47 00 00 00 08 01 00,E4,Enhanced,Slave response,1.227,LIN1,
116,0B [8B],FF 7F 00 00 FE FF FF FF,F5,Enhanced,Slave response,1.237,LIN1,
117,0A [CA],00 48 00 00 00 08 01 00,E3,Enhanced,Slave response,1.247,LIN1,
118,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,1.257,LIN1,
119,0A [CA],00 49 00 00 00 08 01 00,E2,Enhanced,Slave response,1.267,LIN1,
120,0C [4C],FF 7F 00 00 FE FF FF FF,35,Enhanced,Slave response,1.277,LIN1,
121,0A [CA],00 4A 00 00 00 08 01 00,E1,Enhanced,Slave response,1.287,LIN1,
122,2F [6F],00 00 00 00 82 FF FF FF,0E,Enhanced,Slave response,1.297,LIN1,
123,0A [CA],00 4B 00 00 00 08 01 00,E0,Enhanced,Slave response,1.306,LIN1,
124,0D [0D],,,,Slave response,1.316,LIN1,SLAVE NO RESPONSE
125,0A [CA],00 4C 00 00 00 08 01 00,DF,Enhanced,Slave response,1.326,LIN1,
126,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,1.336,LIN1,
127,0A [CA],00 4D 00 00 00 08 01 00,DE,Enhanced,Slave response,1.346,LIN1,
128,0E [8E],,,,Slave response,1.356,LIN1,SLAVE NO RESPONSE
129,0A [CA],00 4E 00 00 00 08 01 00,DD,Enhanced,Slave response,1.366,LIN1,
130,2F [6F],00 00 00 00 82 FF FF FF,0E,Enhanced,Slave response,1.376,LIN1,
131,0A [CA],00 4F 00 00 00 08 01 00,DC,Enhanced,Slave response,1.385,LIN1,
132,0B [8B],FF 7F 00 00 FE FF FF FF,F5,Enhanced,Slave response,1.395,LIN1,
133,0A [CA],00 40 00 00 00 08 01 00,EB,Enhanced,Slave response,1.405,LIN1,
134,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,1.415,LIN1,
135,0A [CA],00 41 00 00 00 08 01 00,EA,Enhanced,Slave response,1.425,LIN1,
136,0C [4C],FF 7F 00 00 FE FF FF FF,35,Enhanced,Slave response,1.435,LIN1,
137,0A [CA],00 42 00 00 00 08 01 00,E9,Enhanced,Slave response,1.445,LIN1,
138,2F [6F],00 00 00 00 82 FF FF FF,0E,Enhanced,Slave response,1.455,LIN1,
139,0A [CA],00 43 00 00 00 08 01 00,E8,Enhanced,Slave response,1.465,LIN1,
140,0D [0D],,,,Slave response,1.474,LIN1,SLAVE NO RESPONSE
141,0A [CA],00 44 00 00 00 08 01 00,E7,Enhanced,Slave response,1.484,LIN1,
142,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,1.494,LIN1,
143,0A [CA],00 45 00 00 00 08 01 00,E6,Enhanced,Slave response,1.504,LIN1,
144,0E [8E],,,,Slave response,1.514,LIN1,SLAVE NO RESPONSE
145,0A [CA],00 46 00 00 00 08 01 00,E5,Enhanced,Slave response,1.524,LIN1,
146,2F [6F],00 00 00 00 82 FF FF FF,0E,Enhanced,Slave response,1.534,LIN1,
147,0A [CA],00 47 00 00 00 08 01 00,E4,Enhanced,Slave response,1.544,LIN1,
148,0B [8B],FF 7F 00 00 FE FF FF FF,F5,Enhanced,Slave response,1.553,LIN1,
149,0A [CA],00 48 00 00 00 08 01 00,E3,Enhanced,Slave response,1.563,LIN1,
150,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,1.573,LIN1,
151,0A [CA],00 49 00 00 00 08 01 00,E2,Enhanced,Slave response,1.583,LIN1,
152,0C [4C],FF 7F 00 00 FE FF FF FF,35,Enhanced,Slave response,1.593,LIN1,
153,0A [CA],00 4A 00 00 00 08 01 00,E1,Enhanced,Slave response,1.603,LIN1,
154,2F [6F],00 00 00 00 82 FF FF FF,0E,Enhanced,Slave response,1.613,LIN1,
155,0A [CA],00 4B 00 00 00 08 01 00,E0,Enhanced,Slave response,1.623,LIN1,
156,0D [0D],,,,Slave response,1.633,LIN1,SLAVE NO RESPONSE
157,0A [CA],00 4C 00 00 00 08 01 00,DF,Enhanced,Slave response,1.642,LIN1,
158,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,1.652,LIN1,
159,0A [CA],00 4D 00 00 00 08 01 00,DE,Enhanced,Slave response,1.662,LIN1,
160,0E [8E],,,,Slave response,1.672,LIN1,SLAVE NO RESPONSE
161,0A [CA],00 4E 00 00 00 08 01 00,DD,Enhanced,Slave response,1.682,LIN1,
162,2F [6F],00 00 00 00 82 FF FF FF,0E,Enhanced,Slave response,1.692,LIN1,
163,0A [CA],00 4F 00 00 00 08 01 00,DC,Enhanced,Slave response,1.702,LIN1,
164,0B [8B],FF 7F 00 00 FE FF FF FF,F5,Enhanced,Slave response,1.712,LIN1,
165,0A [CA],00 40 00 00 00 08 01 00,EB,Enhanced,Slave response,1.722,LIN1,
166,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,1.731,LIN1,
167,0A [CA],00 41 00 00 00 08 01 00,EA,Enhanced,Slave response,1.741,LIN1,
168,0C [4C],FF 7F 00 00 FE FF FF FF,35,Enhanced,Slave response,1.751,LIN1,
169,0A [CA],00 42 00 00 00 08 01 00,E9,Enhanced,Slave response,1.761,LIN1,
170,2F [6F],00 00 00 00 82 FF FF FF,0E,Enhanced,Slave response,1.771,LIN1,
171,0A [CA],00 43 00 00 00 08 01 00,E8,Enhanced,Slave response,1.781,LIN1,
172,0D [0D],,,,Slave response,1.791,LIN1,SLAVE NO RESPONSE
173,0A [CA],00 44 00 00 00 08 01 00,E7,Enhanced,Slave response,1.801,LIN1,
174,2E [2E],00 00 80 51 00 0C 00 00,F3,Enhanced,Slave response,1.81,LIN1,
175,0A [CA],00 45 00 00 00 08 01 00,E6,Enhanced,Slave response,1.82,LIN1,
176,0E [8E],,,,Slave response,1.83,LIN1,SLAVE NO RESPONSE
177,0A [CA],00 46 00 00 00 08 01 00,E5,Enhanced,Slave response,1.84,LIN1,
178,2F [6F],00 00 00 00 82 FF FF FF,0E,Enhanced,Slave response,1.85,LIN1,
179,0A [CA],00 47 00 00 00 08 01 00,E4,Enhanced,Slave response,1.86,LIN1,
180,0B [8B],FF 7F 00 00 FE FF FF FF,F5,Enhanced,Slave response,1.87,LIN1,
181,0A [CA],00 48 00 00 00 08 01 00,E3,Enhanced,Slave response,1.94,LIN1,
182,2E [2E],00 00 80 4E 00 0E 00 00,F4,Enhanced,Slave response,1.949,LIN1,
183,0A [CA],00 49 00 00 00 08 01 00,E2,Enhanced,Slave response,1.959,LIN1,
184,0C [4C],FF 7F 00 00 FE FF FF FF,35,Enhanced,Slave response,1.969,LIN1,
185,0A [CA],00 4A 00 00 00 08 01 00,E1,Enhanced,Slave response,1.979,LIN1,
186,2F [6F],00 00 00 00 82 FF FF FF,0E,Enhanced,Slave response,1.989,LIN1,
187,0A [CA],00 4B 00 00 00 08 01 00,E0,Enhanced,Slave response,1.999,LIN1,
188,0D [0D],,,,Slave response,2.009,LIN1,SLAVE NO RESPONSE
189,0A [CA],00 4C 00 00 00 08 01 00,DF,Enhanced,Slave response,2.019,LIN1,
190,2E [2E],00 00 80 4E 00 0E 00 00,F4,Enhanced,Slave response,2.029,LIN1,
191,0A [CA],00 4D 00 00 00 08 01 00,DE,Enhanced,Slave response,2.038,LIN1,
192,0E [8E],,,,Slave response,2.048,LIN1,SLAVE NO RESPONSE
193,0A [CA],00 4E 00 00 00 08 01 00,DD,Enhanced,Slave response,2.058,LIN1,
194,2F [6F],00 00 00 00 82 FF FF FF,0E,Enhanced,Slave response,2.068,LIN1,
195,0A [CA],00 4F 00 00 00 08 01 00,DC,Enhanced,Slave response,2.078,LIN1,
196,0B [8B],FF 7F 00 00 FE FF FF FF,F5,Enhanced,Slave response,2.088,LIN1,
197,0A [CA],00 40 00 00 00 08 01 00,EB,Enhanced,Slave response,2.098,LIN1,
198,2E [2E],00 00 80 4E 00 0E 00 00,F4,Enhanced,Slave response,2.108,LIN1,
199,0A [CA],00 41 00 00 00 08 01 00,EA,Enhanced,Slave response,2.117,LIN1,
